road,lane,s0,s1,len_m,n_tri,x_mid,y_mid
146,-1,34.7,146.1,111.4,271,670.6,-168.1
146,1,34.7,146.1,111.4,361,665.2,-166.4
173,-1,0.1,235.6,235.5,516,766.2,-79.2
173,1,0.1,235.6,235.5,617,771.0,-75.0
173,2,4.3,233.2,229.0,526,772.2,-71.9
174,-2,4.3,48.9,44.6,138,585.3,-121.6
174,-1,0.1,53.2,53.1,157,586.7,-124.2
174,1,0.1,19.0,18.9,60,602.7,-120.3
190,-1,0.1,122.2,122.1,326,490.3,-83.2
190,1,0.1,122.2,122.1,325,487.4,-84.5
208,-1,0.1,7.0,6.9,23,409.0,-235.0
211,-2,17.4,26.1,8.7,203,382.0,-260.4
211,-1,23.9,29.5,5.6,32,384.5,-256.8
420,-1,2.0,50.9,48.9,481,381.5,-57.7
420,1,67.7,97.3,29.5,118,427.1,-24.6
465,-1,0.0,65.7,65.7,143,484.9,-182.5
465,1,25.0,65.7,40.8,89,496.6,-172.7
766,-1,0.0,48.8,48.8,22,630.8,-104.1
794,-1,4.2,28.7,24.5,29,449.7,-17.0
797,-1,0.5,29.6,29.1,70,453.4,-24.6
1603,-1,0.0,21.2,21.2,58,457.5,-509.5
1712,-1,21.2,41.0,19.8,394,490.8,-609.8
1734,-1,0.0,24.7,24.7,117,496.5,-663.6
1734,1,0.0,24.7,24.7,135,499.2,-662.9
1734,2,0.0,24.7,24.7,126,502.0,-661.9
1750,1,0.0,29.2,29.2,74,528.2,-711.6
1750,2,0.0,29.2,29.2,74,530.4,-709.9
1769,-1,26.0,54.1,28.0,78,566.7,-764.9
1769,1,26.0,52.1,26.0,75,568.5,-762.8
1777,-2,33.5,39.6,6.1,35,618.5,-833.5
1777,-1,31.5,67.9,36.4,291,626.6,-837.5
1777,1,0.0,19.2,19.2,72,608.4,-813.2
1777,2,4.3,67.9,63.6,395,619.8,-824.3
1777,3,21.3,31.5,10.2,364,619.2,-821.0
1778,-2,30.6,36.8,6.1,180,623.2,-756.9
1778,-1,0.0,63.3,63.3,378,627.8,-753.7
1778,2,38.8,61.3,22.5,69,614.1,-768.0
1818,1,0.0,52.6,52.6,545,701.0,-871.0
1818,2,0.0,30.2,30.2,281,699.3,-867.3
2076,-4,707.3,729.5,22.2,416,1193.1,-748.3
2076,-3,657.9,731.6,73.7,952,1204.4,-742.4
2076,-2,657.9,740.0,82.1,828,1205.2,-745.9
2076,-1,657.9,740.0,82.1,842,1206.8,-748.8
2089,-1,0.0,0.0,0.0,45,1176.7,-760.9
2192,-2,135.8,166.7,30.9,380,1093.2,-467.2
2192,-1,135.8,170.9,35.1,324,1095.8,-463.2
2192,2,96.2,168.8,72.6,622,1081.3,-462.4
2192,3,96.2,166.7,70.5,669,1078.7,-459.7
2192,4,135.8,162.1,26.3,294,1091.0,-454.4
2264,-1,0.0,89.7,89.7,210,1178.2,-508.1
2264,1,0.0,89.7,89.7,205,1180.3,-506.1
2264,2,4.1,85.7,81.6,188,1182.5,-504.2
2312,2,2.4,110.8,108.4,1223,1205.4,-401.5
2312,3,4.8,110.8,106.0,1482,1204.6,-397.9
2312,4,7.2,108.6,101.3,798,1203.7,-395.5
2313,-2,0.0,23.1,23.1,61,1108.9,-419.9
2313,-1,0.0,27.3,27.3,71,1112.4,-419.6
2313,1,0.0,27.3,27.3,76,1115.1,-418.6
2358,-1,0.0,0.0,0.0,37,1115.2,-465.5
2376,-1,0.0,0.0,0.0,23,1152.4,-433.5
2385,-1,26.7,26.7,0.0,41,1111.4,-450.2
2386,-1,0.0,127.4,127.4,304,1046.7,-341.2
2386,1,0.0,125.4,125.4,302,1048.8,-339.0
2386,2,0.0,125.4,125.4,302,1051.0,-337.2
2392,-3,0.3,25.0,24.7,158,1094.5,-395.2
2392,-2,0.6,24.7,24.0,89,1096.3,-399.4
2395,-3,1.2,24.1,23.0,133,1092.5,-398.4
2395,-2,2.3,23.0,20.6,100,1095.8,-398.9
4740,-2,10.0,58.2,48.2,20,540.6,-826.9
