seq,x,y
1,1308.137,451.289
2,1305.069,519.038
3,1276.635,584.423
4,1117.455,492.259
5,1117.112,471.048
6,1115.330,437.980
7,1078.725,337.228
8,940.427,224.376
9,916.818,233.677
10,822.335,455.980
11,790.241,513.709
12,775.915,532.447
13,793.957,565.538
14,960.324,655.310
15,998.135,675.189
16,1226.129,810.041
17,1237.428,845.029
18,1414.620,1162.965
19,1430.153,1145.615
20,1437.272,978.241
21,1442.160,868.895
22,1452.722,612.477
23,1436.106,594.213
24,1321.269,588.989
25,1299.225,685.935
26,1266.601,791.510
