seq,x,y
0,1412.324,929.911
1,1391.889,915.157
2,1370.897,901.579
3,1349.229,888.447
4,1327.701,875.337
5,1305.819,862.034
6,1284.250,848.958
7,1262.538,835.896
8,1239.984,824.494
9,1217.914,812.069
10,1197.920,796.927
11,1176.480,783.696
12,1154.978,770.899
13,1133.265,757.712
14,1111.709,744.909
15,1089.668,731.736
16,1067.410,719.320
17,1045.557,707.056
18,1022.912,695.269
19,1000.611,683.676
20,978.153,671.690
21,955.850,660.047
22,933.378,648.252
23,910.962,636.631
24,888.903,624.786
25,866.631,612.841
26,843.880,601.020
27,821.013,589.340
28,798.396,577.899
29,776.245,566.174
30,761.623,545.541
31,773.853,523.402
32,786.538,501.368
33,0.000,0.000
