seq,x,y
0,947.210,-78.869
1,927.218,-94.512
2,907.202,-110.176
3,887.162,-125.860
4,867.672,-141.685
5,849.611,-159.140
6,829.252,-173.733
7,807.998,-187.988
8,788.121,-203.546
9,766.961,-218.201
10,746.339,-232.640
11,721.237,-230.749
12,705.002,-211.487
13,689.282,-192.015
14,673.627,-171.937
15,657.775,-152.257
16,642.290,-132.453
17,630.844,-110.050
18,654.754,-102.257
19,679.513,-96.798
20,704.373,-93.506
21,729.542,-92.014
22,754.628,-91.276
23,779.921,-90.258
24,804.304,-83.738
25,824.929,-68.696
26,840.388,-48.989
27,851.582,-26.397
28,857.941,-1.880
29,859.686,23.248
30,858.696,48.391
31,857.844,73.507
32,856.906,98.540
33,857.055,123.691
34,865.268,147.445
35,866.574,149.893
