seq,x,y
0,1549.122,-274.450
1,1551.876,-299.563
2,1553.013,-324.914
3,1551.832,-350.676
4,1548.233,-375.741
5,1542.803,-400.201
6,1535.159,-424.087
7,1525.384,-447.658
8,1513.681,-470.250
9,1500.033,-491.213
10,1484.683,-511.594
11,1467.284,-530.085
12,1447.288,-546.560
13,1427.469,-562.481
14,1407.319,-578.803
15,1387.548,-594.677
16,1367.774,-610.571
17,1347.966,-626.379
18,1327.860,-642.646
19,1308.164,-658.598
20,1288.469,-674.469
21,1268.744,-690.321
22,1248.731,-706.372
23,1229.317,-722.209
24,1209.730,-738.383
25,1188.573,-752.160
26,1168.611,-767.547
27,1143.519,-765.735
28,1127.830,-746.024
29,1112.339,-726.392
30,1100.213,-711.028
