seq,x,y
0,901.044,-130.637
1,920.841,-115.064
2,941.354,-98.935
3,961.072,-83.449
4,980.568,-67.595
5,998.727,-50.093
6,1018.886,-34.866
7,1038.502,-18.820
8,1058.202,-3.298
9,1078.394,11.984
10,1098.068,27.715
11,1119.450,41.037
12,1139.264,56.557
13,1159.105,71.894
14,1179.016,87.666
15,1199.197,102.658
16,1219.576,117.542
17,1240.020,131.992
18,1263.156,141.888
19,1286.817,150.762
20,1310.593,159.146
21,1334.491,167.304
22,1359.530,172.285
23,1384.564,176.333
24,1409.273,180.331
25,1434.488,184.406
26,1458.549,188.278
