seq,x,y
0,516.520,-131.894
1,504.276,-109.165
2,492.294,-86.922
3,480.316,-64.686
4,468.333,-42.440
5,456.231,-19.932
6,431.057,-22.514
7,409.292,-35.289
8,387.739,-48.449
9,365.964,-60.794
10,341.367,-67.484
11,329.323,-45.251
12,318.123,-22.745
13,307.925,0.541
14,299.094,24.880
15,290.681,48.908
16,282.259,73.083
17,274.136,96.889
18,265.970,121.013
19,257.867,144.796
20,249.577,169.210
21,252.393,194.533
22,269.337,212.999
23,287.326,230.424
24,305.341,247.868
25,323.440,265.396
26,341.521,282.903
27,345.560,286.815
