seq,x,y
1,1430.96,1238.54
2,1431.950,1232.100
3,1433.010,1169.745
4,1441.035,971.625
5,1442.051,913.693
6,1453.240,604.368
7,1445.406,595.046
8,1312.894,584.977
9,1298.542,564.270
10,1304.268,442.082
11,1295.988,427.923
12,1136.333,421.076
13,1121.092,436.483
14,1281.305,578.532
15,1312.887,581.304
16,1450.905,587.807
17,1457.678,580.627
18,1470.673,442.445
19,1471.883,424.636
20,1475.558,223.301
21,1463.678,204.426
22,1352.694,177.568
23,1337.778,161.213
24,1339.723,150.448
25,1347.116,125.115
26,1388.045,-176.918
